id,label,description,rights,meta.Agent,meta.Alt Text,meta.Cultural Context,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Rights,meta.Style Period,meta.Subject,Meta.Worktype
000001,3 Terracotta female figures,"Three abstractions of human figures sculpted in terracotta stand in a row. Each is balanced on a column that flares outward where it meets the ground. Two of the figures show bodies shaped like disks on top of their bases, with parallel wavy lines painted across them. Two figures have no arms, two bumps for breasts, and a rounded head with a painted mask. The third figure’s body is a sphere on top of the column base with a molded suggestion of crossed arms at the chest. The head is shaped like a candle’s base, with a face painted on narrow portion and decorative edge motif around the circular flat top.",CC 1.0 Universal Public Domain,Unknown,Three Terracotta female figures,"Ancient Greek, Mycenaean",BCE 1400-1300 c.,"Metropolitan Museum of Art, New York",Greece,CC 1.0 Universal Public Domain,"2nd Millennium BCE, Antiquity, Helladic",Mycenean,Sculpture
000002,A Hundred Birds Admiring the Peacock ,This painting is of many colorful birds flitting around two peacocks by the banks of a waterway,"Artstor, IFA/NYU ","Yin, Hong 殷宏",Painting of many colorful birds flitting around two peacocks by the banks of a waterway,"East Asian, Chinese, Ming Dynasty",CE 1450-1550,"The Cleveland Museum of Art, Cleveland, OH, USA",China,"Artstor, IFA/NYU ","15th-16th Century CE, Ming Dynasty","birds, Ming Dynasty",Painting
000003,A map of the world from the Nuzhat al-mushtaq fi ikhtiraq al-afaq,"A map of the world as it appears in Islamic cartography, South at the top and North at the bottom",Public Domain,"Ali ibn Hasan al-Hufi al-Qasimi, copyist ","A map of the world as it appears in Islamic cartography, with South at the top and North at the bottom","European, Italian, Arabic, Muslim, Abbasid",CE 1553,"Bodleian Library, Oxford, UK","Palermo, Sicily, Italy",Public Domain,"16th Century CE, Abbasid",World Map,Maps
000004,A Meat Stall with the Holy Family Giving Alms,"Bread, butter, milk, cheese, various meats, and other delicacies are laid out in a meat stall. Tiny figures appear in the background, appearing as an allegory for the Holy Family on their flight from Egypt on the left and a tavern scene on the right.",Public Domain,Pieter Aertsen,"A meat stall shows carcasses of cows, pigs, and chickens. In the background on the left are people in a forest and on the right a tavern scene.","Northern and Western European, Netherlandish, Renaissance",CE 1551,"North Carolina Museum of Art, Raleigh, NC, USA","Antwerp, Belgium",Public Domain,"16th Century CE, Renaissance, Northern Renaissance","Inverted Still Life, Flight into Egypt",Painting
000005,Abbey of the Dormition (reconstruction),"A circular building of stone with a cone-shaped roof and a cross on top is supported by exterior square-shaped columns, each with a coned top. A chapel with an apse is on the right.",CC 4.0 BY-SA Attribution Godot13 ,Unknown,A circular building of stone with a cone-shaped roof and a cross on top.,"Middle Eastern, Israeli, Jerusalem, Christendom",CE 400,Jerusalem,Jerusalem,CC 4.0 BY-SA Attribution Godot13 ,Early 5th Century CE,Christianity,Architecture
000006,Adoration of Pillar of Ashoka -- Sanchi,Relief of the adoration of the pillar of Ashoka on the Great Temple at Sanchi Stupa. South Gateway Right pillar top panel.,CC BY-SA 3.0 Nandanupadhyay,Unknown,Relief of the adoration of the pillar of Ashoka on the Great Temple at Sanchi Stupa.,"South Asian, Indian, Indian Buddhist",BCE 268-232 ,"Sanchi, India","Sanchi, India",CC BY-SA 3.0 Nandanupadhyay,3rd Century BCE,"Indian Buddhism, Ashoka",Sculpture
000007,Adulis Archaeological Site,A large rectangular stone foundation with three tiers has been dug out of the ground. A trench surrounds the foundation. The center of the rectangle is full of dirt. ,CC BY 2.0 David Stanley,Unknown,A large rectangular stone foundation with three tiers has been dug out of the ground. A trench surrounds the foundation. The center of the rectangle is full of dirt.,"East African, Ethiopian, Christendom",CE 600-700 ,"Aksum, Adulis, Ethiopia","Aksum, Adulis, Ethiopia",CC BY 2.0 David Stanley,7th Century CE,"Ethiopia, Christianity",Architecture
000008,Ain Ghazal Statues,"A crude statue of a person. The figure is missing arms. Its legs are turned inward. The face is contoured to show nose, brows, and chin. A thin line in the plaster suggests a mouth, and eyes are drawn on with black pigment.",CC BY-SA 2.0 ALFGRN,Unknown,A crude statue of a person,"Middle Eastern, Jordanian, Pre-historical",BCE 7200-6500,"The Louvre, The Jordan Museum",Jordan,CC BY-SA 2.0 ALFGRN,Neolithic,"Jordan, Neolithic",Sculpture
000009,Akbar Taming Mad Elephant Hawai,"On the left panel, two elephants run across a river's bridge that is supported by boats, while people dive and swim nearby. A man is riding one of the elephants. On the right panel, a crowd of people watch the elephants and react with various expressions ranging from panic to mild concern.","Public Domain
",Basawan and Chetar,Painting of a king directing his subjects to tame an elephant,"South Asian, Indian, Muslim, Mughal",CE 1586,"Victoria and Albert Museum, London, UK",India,"Public Domain
","16th Century CE, Mughal","Mughal manuscript, Akbar",Painting
000010,Akhenaten & Family Blessed by Aten,"A relief carved in a rectangle of stone shows two seated figures, facing each other, holding children. Above and between them is a sun showering down rays.",CC BY-NC-ND 3.0 Troels Myrup,Unknown,"A relief carved in a rectangle of stone shows two seated figures, facing each other, holding children. ","Ancient Egyptian, New Kingdom",BCE 1353-1336 ,"Egyptian Museum, Berlin","Tel-el-Amarna, Egypt",CC BY-NC-ND 3.0 Troels Myrup,"2nd Millennium BCE, New Kingdom",Akhenaten,Sculpture
